state,avg_approval_rate,total_cases,employer_rows
AA,1.0,2,2
AE,0.5,2,2
AK,0.9641665259079698,696,183
AL,0.9699404795557877,5013,1319
AP,1.0,1,1
AR,0.9641476118801366,15531,1001
AS,1.0,1,1
AZ,0.9630982506892766,29222,3717
CA,0.9614630130884422,387600,52738
CO,0.9636698302613687,12763,3267
CT,0.9660535100136084,17389,3845
DC,0.9576905868645136,6901,2346
DE,0.9457507813204381,6989,1573
FL,0.9547289428015199,49946,12004
GA,0.960408984795134,49627,9782
GU,0.9860268899967791,1907,631
HI,0.9692690361168622,786,322
IA,0.9767253098326839,6740,1388
ID,0.9616345923499668,3115,401
IL,0.9700582098690538,96246,13648
IN,0.9727401669481246,12467,2762
KS,0.9705606922495816,5772,1569
KY,0.9649008894126408,5658,1266
LA,0.9595479080684136,4971,1265
MA,0.9626044451661329,94718,14923
MD,0.9595080580890203,57549,5460
ME,0.967603267073846,1670,436
MH,1.0,1,1
MI,0.9703263905136528,61198,9432
MN,0.9694416318401518,23075,3820
MO,0.9692643929238515,19846,3481
MP,0.9121212121212121,224,154
MS,0.9775428082829716,1885,534
MT,0.9776963897592231,700,241
NC,0.9629637338266084,47160,5996
ND,0.9507918745691176,1230,423
NE,0.9661276466022591,6488,1185
NH,0.9559571802285282,3209,1014
NJ,0.9569573576538679,186836,20263
NM,0.9593691723378791,3229,773
NV,0.9644834131859674,3497,1242
NY,0.9679106659948297,142462,30486
OH,0.9665970031845075,28379,5957
OK,0.9676774111965541,4236,1143
OR,0.9640447253999553,6760,1523
PA,0.961721217661673,68971,8815
PR,0.9374396135265701,313,207
RI,0.9673592829776329,9401,821
SC,0.9602932472325376,7611,1897
SD,0.9570677801683786,3888,400
TN,0.9757949820516671,21967,3100
TX,0.9594905339578217,218852,30678
UNKNOWN,0.9869366388593978,5560,2563
UT,0.9602791214598745,7745,2168
VA,0.9590774977345853,88796,9770
VI,0.8964218455743879,114,59
VT,0.968487109322205,1276,341
WA,0.9625897805764886,73185,5435
WI,0.9778714694634396,13790,2445
WV,0.9658329612947205,1287,335
WY,0.8799080651346666,748,289
XX,1.0,18,17
